failedPasswords,failedCodes,requestsPerMinute,mouseMovements,keystrokeAvgMs,isProxy,isHosting,hasSuspiciousUA,isOffHoursIST,previousBlocks,timeOnPageSeconds,scrollEvents,pageViews,isAttacker,scenario
0,0,2,185,274.5,False,False,False,False,0,11.4,13,1,0,casual_legit
0,1,5,120,,False,False,False,False,0,25.1,8,3,1,casual_legit
0,0,4,250,261.0,False,False,False,False,0,15.0,10,3,0,casual_legit
1,0,2,4,267.6,False,False,False,False,0,36.8,15,3,0,mobile_legit
0,0,3,142,266.8,False,False,False,False,0,24.4,8,2,0,legit_password_typo
2,0,2,6,318.8,False,False,False,True,0,69.4,3,2,0,mobile_legit
0,0,4,131,318.0,False,False,False,False,0,110.2,11,3,0,casual_legit
0,1,2,104,182.9,False,False,False,False,0,44.9,6,1,0,casual_legit
2,0,5,228,220.3,False,False,False,False,0,104.6,10,2,0,legit_password_typo
0,0,3,11,238.1,False,False,False,True,0,17.3,5,1,0,mobile_legit
0,0,2,138,182.0,False,False,False,False,0,49.0,5,4,0,casual_legit
0,0,3,28,219.2,False,False,False,False,0,57.3,5,2,0,mobile_legit
0,0,2,15,351.3,True,False,False,False,0,37.8,4,1,0,mobile_legit
0,0,0,112,,False,False,False,False,0,16.0,13,3,0,legit_password_typo
0,0,7,131,175.7,False,False,False,True,0,17.8,12,2,0,legit_password_typo
1,0,8,176,222.2,True,True,False,False,0,104.8,13,2,0,legit_on_vpn
1,0,11,4,,False,True,False,False,2,3.0,1,2,1,repeat_offender
6,0,15,0,27.8,True,False,True,False,0,1.1,0,1,1,credential_stuffing_bot
0,0,4,5,249.5,False,False,False,False,0,41.7,8,3,0,mobile_legit
0,0,1,156,225.6,False,False,False,False,0,15.6,12,1,0,casual_legit
1,0,3,165,261.1,False,False,False,False,0,79.9,12,2,0,legit_password_typo
1,0,35,1,,False,True,False,False,0,5.5,1,19,1,scraper_bot
1,0,44,0,,False,False,True,False,0,3.3,1,18,1,scraper_bot
5,1,16,12,60.6,False,True,True,False,2,2.2,2,3,1,repeat_offender
0,0,2,91,,False,False,False,False,0,7.3,8,1,0,casual_legit
0,0,2,15,286.5,False,False,False,False,0,46.3,7,1,1,mobile_legit
0,1,7,8,15.0,True,True,False,False,3,1.4,1,4,1,repeat_offender
1,0,5,28,233.6,False,False,False,False,0,169.7,8,2,0,mobile_legit
0,0,3,137,248.6,False,False,False,False,0,21.1,8,2,0,casual_legit
0,0,5,32,295.5,False,False,True,False,0,8.2,3,3,0,mobile_legit
0,0,3,211,233.2,False,False,False,False,0,102.5,9,4,0,casual_legit
1,2,13,157,213.1,False,False,False,False,0,42.6,7,2,1,careful_human_attacker
6,2,9,119,206.6,False,False,False,True,2,39.7,9,2,1,careful_human_attacker
0,0,5,299,195.3,False,False,False,False,0,54.9,7,2,0,casual_legit
8,3,12,122,212.6,True,True,False,False,1,21.7,11,1,1,careful_human_attacker
1,0,6,137,229.5,False,False,False,False,0,52.0,7,1,0,casual_legit
